MSE BOOTSTRAP,MSE APF,MSE APF modified
6.250473179133918e-05,6.485581286458383e-05,6.305902238459172e-05
6.442157332099514e-05,6.19586036229708e-05,6.62118852507352e-05
5.6757759253395586e-05,6.092590583831878e-05,6.0847017422385754e-05
