#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h17 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     RCP2.6 : Emissions maîtrisées
#-----------------------------------------------------------------------------
# Période extraite : de 2006 à 2020
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12177;47.5716;-2.5044;RCP2.6;2011;12.41;1;6.85;17.59;1;
12177;47.5716;-2.5044;RCP2.6;2012;12.87;5;5.97;21.52;4;
12177;47.5716;-2.5044;RCP2.6;2013;12.77;3;6.28;16.86;1;
12177;47.5716;-2.5044;RCP2.6;2014;12.67;6;5.48;23.88;5;
12177;47.5716;-2.5044;RCP2.6;2015;12.87;2;6;19.4;1;
12177;47.5716;-2.5044;RCP2.6;2016;13.02;9;7.72;24.32;7;
12177;47.5716;-2.5044;RCP2.6;2017;13.2;9;7.65;24.94;8;
12177;47.5716;-2.5044;RCP2.6;2018;12.16;7;8.44;25.41;5;
12177;47.5716;-2.5044;RCP2.6;2019;11.76;9;8.15;27.07;8;
12177;47.5716;-2.5044;RCP2.6;2020;11.83;10;7.04;26.76;8;
12178;47.576;-2.3983;RCP2.6;2006;11.39;3;6.44;16.97;3;
12178;47.576;-2.3983;RCP2.6;2007;12.17;6;6.67;23.09;5;
12178;47.576;-2.3983;RCP2.6;2008;11.6;5;8.65;21.32;2;
12178;47.576;-2.3983;RCP2.6;2009;12.66;2;6.79;18.78;0;
12178;47.576;-2.3983;RCP2.6;2010;12.09;6;8.23;24.55;6;
12178;47.576;-2.3983;RCP2.6;2011;12.19;2;7.14;17.86;1;
12178;47.576;-2.3983;RCP2.6;2012;12.58;5;6.76;23.39;5;
12178;47.576;-2.3983;RCP2.6;2013;12.51;2;6.61;16.28;2;
12178;47.576;-2.3983;RCP2.6;2014;12.38;5;5.39;26.87;5;
12178;47.576;-2.3983;RCP2.6;2015;12.62;3;6.13;18.51;1;
12178;47.576;-2.3983;RCP2.6;2016;12.76;9;8.12;23.58;4;
12178;47.576;-2.3983;RCP2.6;2017;12.92;8;7.88;25.76;6;
12178;47.576;-2.3983;RCP2.6;2018;11.89;7;8.47;23.92;6;
12178;47.576;-2.3983;RCP2.6;2019;11.49;8;8.55;28.96;8;
12178;47.576;-2.3983;RCP2.6;2020;11.61;9;7.15;26.52;7;
12179;47.5803;-2.2922;RCP2.6;2006;11.42;4;7.21;19.38;3;
12179;47.5803;-2.2922;RCP2.6;2007;12.17;8;6.88;23.99;3;
12179;47.5803;-2.2922;RCP2.6;2008;11.68;8;9.18;21.5;3;
12179;47.5803;-2.2922;RCP2.6;2009;12.74;6;7.03;22.14;1;
12179;47.5803;-2.2922;RCP2.6;2010;12.14;6;8.49;26.91;5;
12179;47.5803;-2.2922;RCP2.6;2011;12.25;5;6.92;20.56;2;
12179;47.5803;-2.2922;RCP2.6;2012;12.59;8;7.15;23.79;4;
12179;47.5803;-2.2922;RCP2.6;2013;12.57;3;6.51;17.74;3;
12179;47.5803;-2.2922;RCP2.6;2014;12.44;6;6.22;28.51;5;
12179;47.5803;-2.2922;RCP2.6;2015;12.75;5;7.27;20.79;2;
12179;47.5803;-2.2922;RCP2.6;2016;12.85;9;7.91;24.16;4;
12179;47.5803;-2.2922;RCP2.6;2017;12.97;15;7.73;27.35;7;
12179;47.5803;-2.2922;RCP2.6;2018;11.96;7;9.69;26.43;6;
12179;47.5803;-2.2922;RCP2.6;2019;11.55;9;9.15;33.37;7;
12179;47.5803;-2.2922;RCP2.6;2020;11.67;8;7.5;26.76;5;
12180;47.5845;-2.186;RCP2.6;2006;11.51;4;7.17;19.28;3;
12180;47.5845;-2.186;RCP2.6;2007;12.26;8;6.84;23.85;3;
12180;47.5845;-2.186;RCP2.6;2008;11.77;8;9.13;21.38;3;
12180;47.5845;-2.186;RCP2.6;2009;12.83;6;7;22.01;1;
12180;47.5845;-2.186;RCP2.6;2010;12.23;6;8.43;26.75;5;
12180;47.5845;-2.186;RCP2.6;2011;12.35;5;6.88;20.44;2;
12180;47.5845;-2.186;RCP2.6;2012;12.69;8;7.11;23.66;4;
12180;47.5845;-2.186;RCP2.6;2013;12.66;3;6.39;17.64;3;
12180;47.5845;-2.186;RCP2.6;2014;12.54;6;6.17;28.35;5;
12180;47.5845;-2.186;RCP2.6;2015;12.84;5;7.23;20.66;2;
12180;47.5845;-2.186;RCP2.6;2016;12.93;9;7.87;24.04;4;
12180;47.5845;-2.186;RCP2.6;2017;13.06;15;7.69;27.19;7;
