#-----------------------------------------------------------------------------
# Date d'extraction : 24/04/2025 - 12h35 loc.
#-----------------------------------------------------------------------------
# Producteur : MF-DCSC
# Experience : EUROCORDEX2020
# Modele     : ALADIN63_CNRM-CM5
# Scenario :
#     REF : référence
#-----------------------------------------------------------------------------
# Période extraite : de 1990 à 2005
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     TAV : Température moyenne journalière (°C)
#     PN20MM : Nombre de jours de fortes précipitations (jour(s))
#     PQ90 : précipitations intenses (Q90) (mm)
#     PQ99 : précipitations extrêmes (Q99) (mm)
#     RR99 : nombre de jours de précipitations intenses (nombre de jours où on dépasse le Q99) (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
#-----------------------------------------------------------------------------
Point;Latitude;Longitude;Contexte;Annee;TAV;PN20MM;PQ90;PQ99;RR99;
12177;47.5716;-2.5044;REF;1999;12.69;3;5.7;18.23;2;
12177;47.5716;-2.5044;REF;2000;12.88;13;6.92;26.52;10;
12177;47.5716;-2.5044;REF;2001;11.66;8;8.39;26.68;6;
12177;47.5716;-2.5044;REF;2002;12.11;6;7.95;22.98;5;
12177;47.5716;-2.5044;REF;2003;12.65;9;7.68;22.38;4;
12177;47.5716;-2.5044;REF;2004;12.84;8;8.81;24.89;7;
12177;47.5716;-2.5044;REF;2005;12.28;3;5.12;18.18;3;
12178;47.576;-2.3983;REF;1990;12.38;8;9;25.4;6;
12178;47.576;-2.3983;REF;1991;11.35;5;6.35;21.66;2;
12178;47.576;-2.3983;REF;1992;11.29;2;7.73;17.6;1;
12178;47.576;-2.3983;REF;1993;11.72;4;8;19.11;2;
12178;47.576;-2.3983;REF;1994;11.09;6;8.34;23.08;4;
12178;47.576;-2.3983;REF;1995;11.79;8;7.78;26.64;7;
12178;47.576;-2.3983;REF;1996;12.17;3;5.62;17.82;3;
12178;47.576;-2.3983;REF;1997;11.61;3;7.95;17.28;2;
12178;47.576;-2.3983;REF;1998;11.71;3;8;18.21;2;
12178;47.576;-2.3983;REF;1999;12.44;4;5;19.74;3;
12178;47.576;-2.3983;REF;2000;12.57;13;6.84;27.65;9;
12178;47.576;-2.3983;REF;2001;11.45;9;7.98;26.39;6;
12178;47.576;-2.3983;REF;2002;11.86;7;8.24;21.78;2;
12178;47.576;-2.3983;REF;2003;12.42;9;8.08;22.54;3;
12178;47.576;-2.3983;REF;2004;12.56;8;9.17;26.75;6;
12178;47.576;-2.3983;REF;2005;12.04;3;5.41;18.06;3;
12179;47.5803;-2.2922;REF;1990;12.47;12;9.1;31.16;8;
12179;47.5803;-2.2922;REF;1991;11.34;4;6.72;20.11;3;
12179;47.5803;-2.2922;REF;1992;11.34;2;8.05;17.65;2;
12179;47.5803;-2.2922;REF;1993;11.78;4;8.05;20.02;3;
12179;47.5803;-2.2922;REF;1994;11.15;8;8.14;24.69;4;
12179;47.5803;-2.2922;REF;1995;11.87;10;8.01;30.1;6;
12179;47.5803;-2.2922;REF;1996;12.21;5;5.36;22.05;2;
12179;47.5803;-2.2922;REF;1997;11.65;4;7.93;19.88;0;
12179;47.5803;-2.2922;REF;1998;11.68;5;9.1;20.5;3;
12179;47.5803;-2.2922;REF;1999;12.46;7;5.89;26.54;5;
12179;47.5803;-2.2922;REF;2000;12.6;15;7.68;32.15;11;
12179;47.5803;-2.2922;REF;2001;11.54;8;9.16;26.08;4;
12179;47.5803;-2.2922;REF;2002;11.9;7;8.74;22.18;1;
12179;47.5803;-2.2922;REF;2003;12.47;8;9.44;24.57;5;
12179;47.5803;-2.2922;REF;2004;12.63;11;8.94;25.74;5;
12179;47.5803;-2.2922;REF;2005;12.04;5;4.72;22.28;3;
12180;47.5845;-2.186;REF;1990;12.57;12;9.04;30.99;8;
12180;47.5845;-2.186;REF;1991;11.43;4;6.69;20;3;
12180;47.5845;-2.186;REF;1992;11.44;2;7.99;17.55;2;
12180;47.5845;-2.186;REF;1993;11.87;4;8.08;19.91;3;
12180;47.5845;-2.186;REF;1994;11.24;8;8.09;24.56;4;
12180;47.5845;-2.186;REF;1995;11.96;10;7.96;29.93;6;
12180;47.5845;-2.186;REF;1996;12.3;5;5.33;21.92;2;
12180;47.5845;-2.186;REF;1997;11.74;4;7.89;19.77;0;
12180;47.5845;-2.186;REF;1998;11.77;5;9.05;20.39;3;
12180;47.5845;-2.186;REF;1999;12.55;7;6.01;26.39;5;
12180;47.5845;-2.186;REF;2000;12.7;15;7.64;31.99;11;
